loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.37,27.120922088623047,1.9946623093681918e-05,0.0054466230936819175,50,,,,,,,,,
3.6359,13.13638973236084,1.98921568627451e-05,0.010893246187363835,100,,,,,,,,,
3.6717,14.544429779052734,1.983769063180828e-05,0.016339869281045753,150,,,,,,,,,
3.674,11.710668563842773,1.978322440087146e-05,0.02178649237472767,200,,,,,,,,,
3.6549,15.934122085571289,1.972875816993464e-05,0.027233115468409588,250,,,,,,,,,
3.6741,28.313467025756836,1.9674291938997823e-05,0.032679738562091505,300,,,,,,,,,
3.5856,34.607391357421875,1.9619825708061004e-05,0.03812636165577342,350,,,,,,,,,
3.6891,31.30853271484375,1.9565359477124185e-05,0.04357298474945534,400,,,,,,,,,
3.5206,11.371919631958008,1.9510893246187365e-05,0.049019607843137254,450,,,,,,,,,
3.6158,14.035406112670898,1.9456427015250546e-05,0.054466230936819175,500,,,,,,,,,
3.5647,13.286128044128418,1.9401960784313727e-05,0.05991285403050109,550,,,,,,,,,
3.48,19.733257293701172,1.934749455337691e-05,0.06535947712418301,600,,,,,,,,,
3.5952,17.2728214263916,1.929302832244009e-05,0.07080610021786492,650,,,,,,,,,
3.4711,12.58835220336914,1.923856209150327e-05,0.07625272331154684,700,,,,,,,,,
3.6477,8.580842971801758,1.918409586056645e-05,0.08169934640522876,750,,,,,,,,,
3.5471,9.751728057861328,1.9129629629629632e-05,0.08714596949891068,800,,,,,,,,,
3.4241,8.230029106140137,1.9075163398692813e-05,0.09259259259259259,850,,,,,,,,,
3.5158,10.311388969421387,1.9020697167755994e-05,0.09803921568627451,900,,,,,,,,,
3.6243,17.608158111572266,1.8966230936819175e-05,0.10348583877995643,950,,,,,,,,,
3.5238,28.046323776245117,1.8911764705882353e-05,0.10893246187363835,1000,,,,,,,,,
3.4676,9.277475357055664,1.8857298474945537e-05,0.11437908496732026,1050,,,,,,,,,
3.4737,20.375104904174805,1.8802832244008715e-05,0.11982570806100218,1100,,,,,,,,,
3.5599,9.800189018249512,1.8748366013071896e-05,0.12527233115468409,1150,,,,,,,,,
3.462,11.288558006286621,1.869389978213508e-05,0.13071895424836602,1200,,,,,,,,,
3.6283,11.895816802978516,1.8639433551198257e-05,0.13616557734204793,1250,,,,,,,,,
3.4921,8.454126358032227,1.858496732026144e-05,0.14161220043572983,1300,,,,,,,,,
3.4973,7.613864421844482,1.853050108932462e-05,0.14705882352941177,1350,,,,,,,,,
3.488,8.256267547607422,1.84760348583878e-05,0.15250544662309368,1400,,,,,,,,,
3.5051,5.559484004974365,1.842156862745098e-05,0.1579520697167756,1450,,,,,,,,,
3.5425,22.51873207092285,1.8367102396514162e-05,0.16339869281045752,1500,,,,,,,,,
3.4332,9.286805152893066,1.8312636165577343e-05,0.16884531590413943,1550,,,,,,,,,
3.4685,11.22357177734375,1.8258169934640524e-05,0.17429193899782136,1600,,,,,,,,,
3.424,15.737039566040039,1.8203703703703705e-05,0.17973856209150327,1650,,,,,,,,,
3.2998,18.621856689453125,1.8149237472766886e-05,0.18518518518518517,1700,,,,,,,,,
3.3377,14.81658935546875,1.8094771241830067e-05,0.1906318082788671,1750,,,,,,,,,
3.4875,5.958463191986084,1.8040305010893248e-05,0.19607843137254902,1800,,,,,,,,,
3.4356,5.477147579193115,1.798583877995643e-05,0.20152505446623092,1850,,,,,,,,,
3.3521,19.46604347229004,1.793137254901961e-05,0.20697167755991286,1900,,,,,,,,,
3.3446,11.59848690032959,1.787690631808279e-05,0.21241830065359477,1950,,,,,,,,,
3.3212,9.424647331237793,1.7822440087145972e-05,0.2178649237472767,2000,,,,,,,,,
3.3354,5.448179721832275,1.776797385620915e-05,0.2233115468409586,2050,,,,,,,,,
3.4835,9.173359870910645,1.7713507625272334e-05,0.22875816993464052,2100,,,,,,,,,
3.4227,7.4931793212890625,1.7659041394335515e-05,0.23420479302832245,2150,,,,,,,,,
3.3117,6.761329650878906,1.7604575163398692e-05,0.23965141612200436,2200,,,,,,,,,
3.4687,9.641359329223633,1.7550108932461877e-05,0.24509803921568626,2250,,,,,,,,,
3.3273,20.724958419799805,1.7495642701525054e-05,0.25054466230936817,2300,,,,,,,,,
3.3483,7.875826835632324,1.744117647058824e-05,0.2559912854030501,2350,,,,,,,,,
3.3402,9.702352523803711,1.7386710239651416e-05,0.26143790849673204,2400,,,,,,,,,
3.4944,5.142014503479004,1.7332244008714597e-05,0.2668845315904139,2450,,,,,,,,,
3.4778,8.731261253356934,1.727777777777778e-05,0.27233115468409586,2500,,,,,,,,,
3.4515,4.231873035430908,1.722331154684096e-05,0.2777777777777778,2550,,,,,,,,,
3.432,5.077662944793701,1.716884531590414e-05,0.28322440087145967,2600,,,,,,,,,
3.3258,5.948421955108643,1.711437908496732e-05,0.2886710239651416,2650,,,,,,,,,
3.2635,5.138032913208008,1.7059912854030502e-05,0.29411764705882354,2700,,,,,,,,,
3.3672,6.1960296630859375,1.7005446623093683e-05,0.2995642701525055,2750,,,,,,,,,
3.4041,5.39434814453125,1.6950980392156864e-05,0.30501089324618735,2800,,,,,,,,,
3.29,10.491832733154297,1.6896514161220045e-05,0.3104575163398693,2850,,,,,,,,,
3.335,5.130611896514893,1.6842047930283226e-05,0.3159041394335512,2900,,,,,,,,,
3.297,6.070825099945068,1.6787581699346407e-05,0.3213507625272331,2950,,,,,,,,,
3.092,7.9253621101379395,1.6733115468409588e-05,0.32679738562091504,3000,,,,,,,,,
3.4427,16.16794776916504,1.667864923747277e-05,0.332244008714597,3050,,,,,,,,,
3.4756,6.817549705505371,1.662418300653595e-05,0.33769063180827885,3100,,,,,,,,,
3.3088,8.241177558898926,1.656971677559913e-05,0.3431372549019608,3150,,,,,,,,,
3.2507,5.907887935638428,1.651525054466231e-05,0.3485838779956427,3200,,,,,,,,,
3.2771,5.392334461212158,1.6460784313725492e-05,0.3540305010893246,3250,,,,,,,,,
3.2486,4.362887382507324,1.6406318082788673e-05,0.35947712418300654,3300,,,,,,,,,
3.4146,5.088828086853027,1.635185185185185e-05,0.36492374727668847,3350,,,,,,,,,
3.2642,6.72707986831665,1.6297385620915035e-05,0.37037037037037035,3400,,,,,,,,,
3.1834,4.630400657653809,1.6242919389978216e-05,0.3758169934640523,3450,,,,,,,,,
3.2742,7.407382965087891,1.6188453159041394e-05,0.3812636165577342,3500,,,,,,,,,
3.3388,4.605450630187988,1.6133986928104578e-05,0.3867102396514161,3550,,,,,,,,,
3.4211,4.5329060554504395,1.6079520697167756e-05,0.39215686274509803,3600,,,,,,,,,
3.2496,16.183605194091797,1.6025054466230937e-05,0.39760348583877997,3650,,,,,,,,,
3.4402,6.100024223327637,1.597058823529412e-05,0.40305010893246185,3700,,,,,,,,,
3.2359,9.212921142578125,1.59161220043573e-05,0.4084967320261438,3750,,,,,,,,,
3.3778,7.052807807922363,1.5861655773420483e-05,0.4139433551198257,3800,,,,,,,,,
3.4328,8.331260681152344,1.580718954248366e-05,0.41938997821350765,3850,,,,,,,,,
3.3227,5.321831226348877,1.575272331154684e-05,0.42483660130718953,3900,,,,,,,,,
3.514,8.04765510559082,1.5698257080610022e-05,0.43028322440087147,3950,,,,,,,,,
3.3852,6.837118625640869,1.5643790849673203e-05,0.4357298474945534,4000,,,,,,,,,
3.4054,7.3231964111328125,1.5589324618736384e-05,0.4411764705882353,4050,,,,,,,,,
3.3474,16.48201560974121,1.5534858387799565e-05,0.4466230936819172,4100,,,,,,,,,
3.4493,4.305083751678467,1.5480392156862746e-05,0.45206971677559915,4150,,,,,,,,,
